service_id,date,exception_type
EN_D5-Sunday,20250901,1
EN_D5-Sunday,20251127,1
EN_D5-Sunday,20251225,1
EN_D5-Sunday,20260101,1
EN_D5-Weekday,20250904,2
EN_D5-Weekday,20250905,2
EN_D5-Weekday,20250908,2
EN_D5-Weekday,20250909,2
EN_D5-Weekday,20250910,2
EN_D5-Weekday,20250911,2
EN_D5-Weekday,20250912,2
EN_D5-Weekday,20250915,2
EN_D5-Weekday,20250916,2
EN_D5-Weekday,20250917,2
EN_D5-Weekday,20250918,2
EN_D5-Weekday,20250919,2
EN_D5-Weekday,20250922,2
EN_D5-Weekday,20250925,2
EN_D5-Weekday,20250926,2
EN_D5-Weekday,20250929,2
EN_D5-Weekday,20250930,2
EN_D5-Weekday,20251001,2
EN_D5-Weekday,20251003,2
EN_D5-Weekday,20251006,2
EN_D5-Weekday,20251007,2
EN_D5-Weekday,20251008,2
EN_D5-Weekday,20251009,2
EN_D5-Weekday,20251010,2
EN_D5-Weekday,20251013,2
EN_D5-Weekday,20251014,2
EN_D5-Weekday,20251015,2
EN_D5-Weekday,20251016,2
EN_D5-Weekday,20251017,2
EN_D5-Weekday,20251021,2
EN_D5-Weekday,20251022,2
EN_D5-Weekday,20251023,2
EN_D5-Weekday,20251024,2
EN_D5-Weekday,20251027,2
EN_D5-Weekday,20251028,2
EN_D5-Weekday,20251029,2
EN_D5-Weekday,20251030,2
EN_D5-Weekday,20251031,2
EN_D5-Weekday,20251103,2
EN_D5-Weekday,20251105,2
EN_D5-Weekday,20251106,2
EN_D5-Weekday,20251107,2
EN_D5-Weekday,20251110,2
EN_D5-Weekday,20251112,2
EN_D5-Weekday,20251113,2
EN_D5-Weekday,20251114,2
EN_D5-Weekday,20251117,2
EN_D5-Weekday,20251118,2
EN_D5-Weekday,20251119,2
EN_D5-Weekday,20251120,2
EN_D5-Weekday,20251121,2
EN_D5-Weekday,20251124,2
EN_D5-Weekday,20251125,2
EN_D5-Weekday,20251126,2
EN_D5-Weekday,20251127,2
EN_D5-Weekday,20251128,2
EN_D5-Weekday,20251201,2
EN_D5-Weekday,20251202,2
EN_D5-Weekday,20251203,2
EN_D5-Weekday,20251204,2
EN_D5-Weekday,20251205,2
EN_D5-Weekday,20251208,2
EN_D5-Weekday,20251209,2
EN_D5-Weekday,20251210,2
EN_D5-Weekday,20251211,2
EN_D5-Weekday,20251212,2
EN_D5-Weekday,20251215,2
EN_D5-Weekday,20251216,2
EN_D5-Weekday,20251217,2
EN_D5-Weekday,20251218,2
EN_D5-Weekday,20251219,2
EN_D5-Weekday,20251222,2
EN_D5-Weekday,20251223,2
EN_D5-Weekday,20251224,2
EN_D5-Weekday,20251225,2
EN_D5-Weekday,20251226,2
EN_D5-Weekday,20251229,2
EN_D5-Weekday,20251230,2
EN_D5-Weekday,20251231,2
EN_D5-Weekday,20260101,2
EN_D5-Weekday-SDon,20250923,2
EN_D5-Weekday-SDon,20250924,2
EN_D5-Weekday-SDon,20251002,2
EN_D5-Weekday-SDon,20251013,2
EN_D5-Weekday-SDon,20251020,2
EN_D5-Weekday-SDon,20251104,2
EN_D5-Weekday-SDon,20251111,2
EN_D5-Weekday-SDon,20251127,2
EN_D5-Weekday-SDon,20251128,2
EN_O5-Weekday,20251014,2
EN_O5-Weekday,20251015,2
EN_O5-Weekday,20251016,2
EN_O5-Weekday,20251017,2
EN_O5-Weekday,20251020,2
EN_O5-Weekday,20251021,2
EN_O5-Weekday,20251022,2
EN_O5-Weekday,20251023,2
EN_O5-Weekday,20251024,2
EN_O5-Weekday,20251027,2
EN_O5-Weekday,20251028,2
EN_O5-Weekday,20251029,2
EN_O5-Weekday,20251030,2
EN_O5-Weekday,20251031,2
EN_O5-Weekday,20251103,2
EN_O5-Weekday,20251104,2
EN_O5-Weekday,20251105,2
EN_O5-Weekday,20251106,2
EN_O5-Weekday,20251107,2
EN_O5-Weekday,20251110,2
EN_O5-Weekday,20251111,2
EN_O5-Weekday,20251112,2
EN_O5-Weekday,20251113,2
EN_O5-Weekday,20251114,2
EN_O5-Weekday,20251117,2
EN_O5-Weekday,20251118,2
EN_O5-Weekday,20251119,2
EN_O5-Weekday,20251120,2
EN_O5-Weekday,20251121,2
EN_O5-Weekday,20251124,2
EN_O5-Weekday,20251125,2
EN_O5-Weekday,20251126,2
EN_O5-Weekday,20251127,2
EN_O5-Weekday,20251201,2
EN_O5-Weekday,20251202,2
EN_O5-Weekday,20251203,2
EN_O5-Weekday,20251204,2
EN_O5-Weekday,20251205,2
EN_O5-Weekday,20251208,2
EN_O5-Weekday,20251209,2
EN_O5-Weekday,20251210,2
EN_O5-Weekday,20251211,2
EN_O5-Weekday,20251212,2
EN_O5-Weekday,20251215,2
EN_O5-Weekday,20251216,2
EN_O5-Weekday,20251217,2
EN_O5-Weekday,20251218,2
EN_O5-Weekday,20251219,2
EN_O5-Weekday,20251222,2
EN_O5-Weekday,20251223,2
EN_O5-Weekday,20251225,2
FB_D5-Sunday,20250901,1
FB_D5-Sunday,20251127,1
FB_D5-Sunday,20251225,1
FB_D5-Sunday,20260101,1
FB_D5-Weekday,20250904,2
FB_D5-Weekday,20250905,2
FB_D5-Weekday,20250908,2
FB_D5-Weekday,20250909,2
FB_D5-Weekday,20250910,2
FB_D5-Weekday,20250911,2
FB_D5-Weekday,20250912,2
FB_D5-Weekday,20250915,2
FB_D5-Weekday,20250916,2
FB_D5-Weekday,20250917,2
FB_D5-Weekday,20250918,2
FB_D5-Weekday,20250919,2
FB_D5-Weekday,20250922,2
FB_D5-Weekday,20250925,2
FB_D5-Weekday,20250926,2
FB_D5-Weekday,20250929,2
FB_D5-Weekday,20250930,2
FB_D5-Weekday,20251001,2
FB_D5-Weekday,20251003,2
FB_D5-Weekday,20251006,2
FB_D5-Weekday,20251007,2
FB_D5-Weekday,20251008,2
FB_D5-Weekday,20251009,2
FB_D5-Weekday,20251010,2
FB_D5-Weekday,20251013,2
FB_D5-Weekday,20251014,2
FB_D5-Weekday,20251015,2
FB_D5-Weekday,20251016,2
FB_D5-Weekday,20251017,2
FB_D5-Weekday,20251021,2
FB_D5-Weekday,20251022,2
FB_D5-Weekday,20251023,2
FB_D5-Weekday,20251024,2
FB_D5-Weekday,20251027,2
FB_D5-Weekday,20251028,2
FB_D5-Weekday,20251029,2
FB_D5-Weekday,20251030,2
FB_D5-Weekday,20251031,2
FB_D5-Weekday,20251103,2
FB_D5-Weekday,20251105,2
FB_D5-Weekday,20251106,2
FB_D5-Weekday,20251107,2
FB_D5-Weekday,20251110,2
FB_D5-Weekday,20251112,2
FB_D5-Weekday,20251113,2
FB_D5-Weekday,20251114,2
FB_D5-Weekday,20251117,2
FB_D5-Weekday,20251118,2
FB_D5-Weekday,20251119,2
FB_D5-Weekday,20251120,2
FB_D5-Weekday,20251121,2
FB_D5-Weekday,20251124,2
FB_D5-Weekday,20251125,2
FB_D5-Weekday,20251126,2
FB_D5-Weekday,20251127,2
FB_D5-Weekday,20251128,2
FB_D5-Weekday,20251201,2
FB_D5-Weekday,20251202,2
FB_D5-Weekday,20251203,2
FB_D5-Weekday,20251204,2
FB_D5-Weekday,20251205,2
FB_D5-Weekday,20251208,2
FB_D5-Weekday,20251209,2
FB_D5-Weekday,20251210,2
FB_D5-Weekday,20251211,2
FB_D5-Weekday,20251212,2
FB_D5-Weekday,20251215,2
FB_D5-Weekday,20251216,2
FB_D5-Weekday,20251217,2
FB_D5-Weekday,20251218,2
FB_D5-Weekday,20251219,2
FB_D5-Weekday,20251222,2
FB_D5-Weekday,20251223,2
FB_D5-Weekday,20251224,2
FB_D5-Weekday,20251225,2
FB_D5-Weekday,20251226,2
FB_D5-Weekday,20251229,2
FB_D5-Weekday,20251230,2
FB_D5-Weekday,20251231,2
FB_D5-Weekday,20260101,2
FB_D5-Weekday-SDon,20250923,2
FB_D5-Weekday-SDon,20250924,2
FB_D5-Weekday-SDon,20251002,2
FB_D5-Weekday-SDon,20251013,2
FB_D5-Weekday-SDon,20251020,2
FB_D5-Weekday-SDon,20251104,2
FB_D5-Weekday-SDon,20251111,2
FB_D5-Weekday-SDon,20251127,2
FB_D5-Weekday-SDon,20251128,2
FB_O5-Weekday,20251014,2
FB_O5-Weekday,20251015,2
FB_O5-Weekday,20251016,2
FB_O5-Weekday,20251017,2
FB_O5-Weekday,20251020,2
FB_O5-Weekday,20251021,2
FB_O5-Weekday,20251022,2
FB_O5-Weekday,20251023,2
FB_O5-Weekday,20251024,2
FB_O5-Weekday,20251027,2
FB_O5-Weekday,20251028,2
FB_O5-Weekday,20251029,2
FB_O5-Weekday,20251030,2
FB_O5-Weekday,20251031,2
FB_O5-Weekday,20251103,2
FB_O5-Weekday,20251104,2
FB_O5-Weekday,20251105,2
FB_O5-Weekday,20251106,2
FB_O5-Weekday,20251107,2
FB_O5-Weekday,20251110,2
FB_O5-Weekday,20251111,2
FB_O5-Weekday,20251112,2
FB_O5-Weekday,20251113,2
FB_O5-Weekday,20251114,2
FB_O5-Weekday,20251117,2
FB_O5-Weekday,20251118,2
FB_O5-Weekday,20251119,2
FB_O5-Weekday,20251120,2
FB_O5-Weekday,20251121,2
FB_O5-Weekday,20251124,2
FB_O5-Weekday,20251125,2
FB_O5-Weekday,20251126,2
FB_O5-Weekday,20251127,2
FB_O5-Weekday,20251201,2
FB_O5-Weekday,20251202,2
FB_O5-Weekday,20251203,2
FB_O5-Weekday,20251204,2
FB_O5-Weekday,20251205,2
FB_O5-Weekday,20251208,2
FB_O5-Weekday,20251209,2
FB_O5-Weekday,20251210,2
FB_O5-Weekday,20251211,2
FB_O5-Weekday,20251212,2
FB_O5-Weekday,20251215,2
FB_O5-Weekday,20251216,2
FB_O5-Weekday,20251217,2
FB_O5-Weekday,20251218,2
FB_O5-Weekday,20251219,2
FB_O5-Weekday,20251222,2
FB_O5-Weekday,20251223,2
FB_O5-Weekday,20251225,2
FP_D5-Sunday,20250901,1
FP_D5-Sunday,20251127,1
FP_D5-Sunday,20251225,1
FP_D5-Sunday,20260101,1
FP_D5-Weekday,20250904,2
FP_D5-Weekday,20250905,2
FP_D5-Weekday,20250908,2
FP_D5-Weekday,20250909,2
FP_D5-Weekday,20250910,2
FP_D5-Weekday,20250911,2
FP_D5-Weekday,20250912,2
FP_D5-Weekday,20250915,2
FP_D5-Weekday,20250916,2
FP_D5-Weekday,20250917,2
FP_D5-Weekday,20250918,2
FP_D5-Weekday,20250919,2
FP_D5-Weekday,20250922,2
FP_D5-Weekday,20250925,2
FP_D5-Weekday,20250926,2
FP_D5-Weekday,20250929,2
FP_D5-Weekday,20250930,2
FP_D5-Weekday,20251001,2
FP_D5-Weekday,20251003,2
FP_D5-Weekday,20251006,2
FP_D5-Weekday,20251007,2
FP_D5-Weekday,20251008,2
FP_D5-Weekday,20251009,2
FP_D5-Weekday,20251010,2
FP_D5-Weekday,20251013,2
FP_D5-Weekday,20251014,2
FP_D5-Weekday,20251015,2
FP_D5-Weekday,20251016,2
FP_D5-Weekday,20251017,2
FP_D5-Weekday,20251021,2
FP_D5-Weekday,20251022,2
FP_D5-Weekday,20251023,2
FP_D5-Weekday,20251024,2
FP_D5-Weekday,20251027,2
FP_D5-Weekday,20251028,2
FP_D5-Weekday,20251029,2
FP_D5-Weekday,20251030,2
FP_D5-Weekday,20251031,2
FP_D5-Weekday,20251103,2
FP_D5-Weekday,20251105,2
FP_D5-Weekday,20251106,2
FP_D5-Weekday,20251107,2
FP_D5-Weekday,20251110,2
FP_D5-Weekday,20251112,2
FP_D5-Weekday,20251113,2
FP_D5-Weekday,20251114,2
FP_D5-Weekday,20251117,2
FP_D5-Weekday,20251118,2
FP_D5-Weekday,20251119,2
FP_D5-Weekday,20251120,2
FP_D5-Weekday,20251121,2
FP_D5-Weekday,20251124,2
FP_D5-Weekday,20251125,2
FP_D5-Weekday,20251126,2
FP_D5-Weekday,20251127,2
FP_D5-Weekday,20251128,2
FP_D5-Weekday,20251201,2
FP_D5-Weekday,20251202,2
FP_D5-Weekday,20251203,2
FP_D5-Weekday,20251204,2
FP_D5-Weekday,20251205,2
FP_D5-Weekday,20251208,2
FP_D5-Weekday,20251209,2
FP_D5-Weekday,20251210,2
FP_D5-Weekday,20251211,2
FP_D5-Weekday,20251212,2
FP_D5-Weekday,20251215,2
FP_D5-Weekday,20251216,2
FP_D5-Weekday,20251217,2
FP_D5-Weekday,20251218,2
FP_D5-Weekday,20251219,2
FP_D5-Weekday,20251222,2
FP_D5-Weekday,20251223,2
FP_D5-Weekday,20251224,2
FP_D5-Weekday,20251225,2
FP_D5-Weekday,20251226,2
FP_D5-Weekday,20251229,2
FP_D5-Weekday,20251230,2
FP_D5-Weekday,20251231,2
FP_D5-Weekday,20260101,2
FP_D5-Weekday-SDon,20250923,2
FP_D5-Weekday-SDon,20250924,2
FP_D5-Weekday-SDon,20251002,2
FP_D5-Weekday-SDon,20251013,2
FP_D5-Weekday-SDon,20251020,2
FP_D5-Weekday-SDon,20251104,2
FP_D5-Weekday-SDon,20251111,2
FP_D5-Weekday-SDon,20251127,2
FP_D5-Weekday-SDon,20251128,2
FP_O5-Weekday,20251014,2
FP_O5-Weekday,20251015,2
FP_O5-Weekday,20251016,2
FP_O5-Weekday,20251017,2
FP_O5-Weekday,20251020,2
FP_O5-Weekday,20251021,2
FP_O5-Weekday,20251022,2
FP_O5-Weekday,20251023,2
FP_O5-Weekday,20251024,2
FP_O5-Weekday,20251027,2
FP_O5-Weekday,20251028,2
FP_O5-Weekday,20251029,2
FP_O5-Weekday,20251030,2
FP_O5-Weekday,20251031,2
FP_O5-Weekday,20251103,2
FP_O5-Weekday,20251104,2
FP_O5-Weekday,20251105,2
FP_O5-Weekday,20251106,2
FP_O5-Weekday,20251107,2
FP_O5-Weekday,20251110,2
FP_O5-Weekday,20251111,2
FP_O5-Weekday,20251112,2
FP_O5-Weekday,20251113,2
FP_O5-Weekday,20251114,2
FP_O5-Weekday,20251117,2
FP_O5-Weekday,20251118,2
FP_O5-Weekday,20251119,2
FP_O5-Weekday,20251120,2
FP_O5-Weekday,20251121,2
FP_O5-Weekday,20251124,2
FP_O5-Weekday,20251125,2
FP_O5-Weekday,20251126,2
FP_O5-Weekday,20251127,2
FP_O5-Weekday,20251201,2
FP_O5-Weekday,20251202,2
FP_O5-Weekday,20251203,2
FP_O5-Weekday,20251204,2
FP_O5-Weekday,20251205,2
FP_O5-Weekday,20251208,2
FP_O5-Weekday,20251209,2
FP_O5-Weekday,20251210,2
FP_O5-Weekday,20251211,2
FP_O5-Weekday,20251212,2
FP_O5-Weekday,20251215,2
FP_O5-Weekday,20251216,2
FP_O5-Weekday,20251217,2
FP_O5-Weekday,20251218,2
FP_O5-Weekday,20251219,2
FP_O5-Weekday,20251222,2
FP_O5-Weekday,20251223,2
FP_O5-Weekday,20251225,2
GA_D5-Sunday,20250901,1
GA_D5-Sunday,20251127,1
GA_D5-Sunday,20251225,1
GA_D5-Sunday,20260101,1
GA_D5-Weekday,20250904,2
GA_D5-Weekday,20250905,2
GA_D5-Weekday,20250908,2
GA_D5-Weekday,20250909,2
GA_D5-Weekday,20250910,2
GA_D5-Weekday,20250911,2
GA_D5-Weekday,20250912,2
GA_D5-Weekday,20250915,2
GA_D5-Weekday,20250916,2
GA_D5-Weekday,20250917,2
GA_D5-Weekday,20250918,2
GA_D5-Weekday,20250919,2
GA_D5-Weekday,20250922,2
GA_D5-Weekday,20250925,2
GA_D5-Weekday,20250926,2
GA_D5-Weekday,20250929,2
GA_D5-Weekday,20250930,2
GA_D5-Weekday,20251001,2
GA_D5-Weekday,20251003,2
GA_D5-Weekday,20251006,2
GA_D5-Weekday,20251007,2
GA_D5-Weekday,20251008,2
GA_D5-Weekday,20251009,2
GA_D5-Weekday,20251010,2
GA_D5-Weekday,20251013,2
GA_D5-Weekday,20251014,2
GA_D5-Weekday,20251015,2
GA_D5-Weekday,20251016,2
GA_D5-Weekday,20251017,2
GA_D5-Weekday,20251021,2
GA_D5-Weekday,20251022,2
GA_D5-Weekday,20251023,2
GA_D5-Weekday,20251024,2
GA_D5-Weekday,20251027,2
GA_D5-Weekday,20251028,2
GA_D5-Weekday,20251029,2
