service_id,date,exception_type
GH_D5-Sunday,20250901,1
GH_D5-Sunday,20251127,1
GH_D5-Sunday,20251225,1
GH_D5-Sunday,20260101,1
GH_D5-Weekday-SDon,20251013,2
GH_D5-Weekday-SDon-BM,20251012,2
GH_D5-Weekday-SDon,20251127,2
GH_D5-Weekday-SDon-BM,20251126,2
GH_D5-Weekday-SDon,20251128,2
GH_D5-Weekday-SDon-BM,20251127,2
GH_D5-Weekday-SDon,20251224,2
GH_D5-Weekday-SDon-BM,20251223,2
GH_D5-Weekday-SDon,20251225,2
GH_D5-Weekday-SDon-BM,20251224,2
GH_D5-Weekday-SDon,20251226,2
GH_D5-Weekday-SDon-BM,20251225,2
GH_D5-Weekday-SDon,20251229,2
GH_D5-Weekday-SDon-BM,20251228,2
GH_D5-Weekday-SDon,20251230,2
GH_D5-Weekday-SDon-BM,20251229,2
GH_D5-Weekday-SDon,20251231,2
GH_D5-Weekday-SDon-BM,20251230,2
GH_D5-Weekday-SDon,20260101,2
GH_D5-Weekday-SDon-BM,20251231,2
GH_D5-Weekday-SDon,20250902,2
GH_D5-Weekday-SDon-BM,20250901,2
GH_D5-Weekday-SDon,20250903,2
GH_D5-Weekday-SDon-BM,20250902,2
GH_D5-Weekday-SDon,20250923,2
GH_D5-Weekday-SDon-BM,20250922,2
GH_D5-Weekday-SDon,20250924,2
GH_D5-Weekday-SDon-BM,20250923,2
GH_D5-Weekday-SDon,20251002,2
GH_D5-Weekday-SDon-BM,20251001,2
GH_D5-Weekday-SDon,20251020,2
GH_D5-Weekday-SDon-BM,20251019,2
GH_D5-Weekday-SDon,20251104,2
GH_D5-Weekday-SDon-BM,20251103,2
GH_D5-Weekday-SDon,20251111,2
GH_D5-Weekday-SDon-BM,20251110,2
GH_D5-Weekday-SDon,20260102,2
GH_D5-Weekday-SDon-BM,20260101,2
GH_D5-Weekday,20250902,1
GH_D5-Weekday-BM,20250901,1
GH_D5-Weekday,20250903,1
GH_D5-Weekday-BM,20250902,1
GH_D5-Weekday,20250923,1
GH_D5-Weekday-BM,20250922,1
GH_D5-Weekday,20250924,1
GH_D5-Weekday-BM,20250923,1
GH_D5-Weekday,20251002,1
GH_D5-Weekday-BM,20251001,1
GH_D5-Weekday,20251020,1
GH_D5-Weekday-BM,20251019,1
GH_D5-Weekday,20251104,1
GH_D5-Weekday-BM,20251103,1
GH_D5-Weekday,20251111,1
GH_D5-Weekday-BM,20251110,1
GH_D5-Weekday,20260102,1
GH_D5-Weekday-BM,20260101,1
GH_O5-Weekday,20251014,2
GH_O5-Weekday-BM,20251013,2
GH_O5-Weekday,20251015,2
GH_O5-Weekday-BM,20251014,2
GH_O5-Weekday,20251016,2
GH_O5-Weekday-BM,20251015,2
GH_O5-Weekday,20251017,2
GH_O5-Weekday-BM,20251016,2
GH_O5-Weekday,20251020,2
GH_O5-Weekday-BM,20251019,2
GH_O5-Weekday,20251021,2
GH_O5-Weekday-BM,20251020,2
GH_O5-Weekday,20251022,2
GH_O5-Weekday-BM,20251021,2
GH_O5-Weekday,20251023,2
GH_O5-Weekday-BM,20251022,2
GH_O5-Weekday,20251024,2
GH_O5-Weekday-BM,20251023,2
GH_O5-Weekday,20251027,2
GH_O5-Weekday-BM,20251026,2
GH_O5-Weekday,20251028,2
GH_O5-Weekday-BM,20251027,2
GH_O5-Weekday,20251029,2
GH_O5-Weekday-BM,20251028,2
GH_O5-Weekday,20251030,2
GH_O5-Weekday-BM,20251029,2
GH_O5-Weekday,20251031,2
GH_O5-Weekday-BM,20251030,2
GH_O5-Weekday,20251103,2
GH_O5-Weekday-BM,20251102,2
GH_O5-Weekday,20251104,2
GH_O5-Weekday-BM,20251103,2
GH_O5-Weekday,20251105,2
GH_O5-Weekday-BM,20251104,2
GH_O5-Weekday,20251106,2
GH_O5-Weekday-BM,20251105,2
GH_O5-Weekday,20251107,2
GH_O5-Weekday-BM,20251106,2
GH_O5-Weekday,20251110,2
GH_O5-Weekday-BM,20251109,2
GH_O5-Weekday,20251111,2
GH_O5-Weekday-BM,20251110,2
GH_O5-Weekday,20251112,2
GH_O5-Weekday-BM,20251111,2
GH_O5-Weekday,20251113,2
GH_O5-Weekday-BM,20251112,2
GH_O5-Weekday,20251114,2
GH_O5-Weekday-BM,20251113,2
GH_O5-Weekday,20251117,2
GH_O5-Weekday-BM,20251116,2
GH_O5-Weekday,20251118,2
GH_O5-Weekday-BM,20251117,2
GH_O5-Weekday,20251119,2
GH_O5-Weekday-BM,20251118,2
GH_O5-Weekday,20251120,2
