route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX26,GH_O5-Weekday,GH_O5-Weekday-033300_BX238_608,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928392,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-036300_BX256_504,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928395,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-037800_BX256_506,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928397,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-039200_BX238_616,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928399,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-040500_BX256_509,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928401,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-041700_BX256_512,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928403,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-042800_BX238_608,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928392,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-044400_BX238_628,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928405,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-046100_BX256_504,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928395,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-047700_BX256_506,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928397,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-049500_BX238_616,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928399,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-051500_BX256_509,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928401,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-054000_BX256_512,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928403,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-057100_BX238_628,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928405,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-060100_BX256_506,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928397,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-063100_BX256_509,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928401,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-066000_BX256_512,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928403,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-069000_BX238_628,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928405,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-071900_BX256_501,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928397,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-074700_BX238_614,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928401,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-077100_BX30_558,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928403,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-079500_BX256_510,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928405,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-081900_BX256_518,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928408,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-083500_BX256_501,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928397,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-085100_BX238_614,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928401,BX260294
