service_id,date,exception_type
CS_D5-Sunday,20250901,1
CS_D5-Sunday-BM,20250831,1
CS_D5-Sunday,20251127,1
CS_D5-Sunday-BM,20251126,1
CS_D5-Sunday,20251225,1
CS_D5-Sunday-BM,20251224,1
CS_D5-Sunday,20260101,1
CS_D5-Sunday-BM,20251231,1
CS_D5-Weekday-SDon,20251013,2
CS_D5-Weekday-SDon-BM,20251012,2
CS_D5-Weekday-SDon,20251127,2
CS_D5-Weekday-SDon-BM,20251126,2
CS_D5-Weekday-SDon,20251128,2
CS_D5-Weekday-SDon-BM,20251127,2
CS_D5-Weekday-SDon,20251224,2
CS_D5-Weekday-SDon-BM,20251223,2
CS_D5-Weekday-SDon,20251225,2
CS_D5-Weekday-SDon-BM,20251224,2
CS_D5-Weekday-SDon,20251226,2
CS_D5-Weekday-SDon-BM,20251225,2
CS_D5-Weekday-SDon,20251229,2
CS_D5-Weekday-SDon-BM,20251228,2
CS_D5-Weekday-SDon,20251230,2
CS_D5-Weekday-SDon-BM,20251229,2
CS_D5-Weekday-SDon,20251231,2
CS_D5-Weekday-SDon-BM,20251230,2
CS_D5-Weekday-SDon,20260101,2
CS_D5-Weekday-SDon-BM,20251231,2
CS_D5-Weekday-SDon,20250902,2
CS_D5-Weekday-SDon-BM,20250901,2
CS_D5-Weekday-SDon,20250903,2
CS_D5-Weekday-SDon-BM,20250902,2
CS_D5-Weekday-SDon,20250923,2
CS_D5-Weekday-SDon-BM,20250922,2
CS_D5-Weekday-SDon,20250924,2
CS_D5-Weekday-SDon-BM,20250923,2
CS_D5-Weekday-SDon,20251002,2
CS_D5-Weekday-SDon-BM,20251001,2
CS_D5-Weekday-SDon,20251020,2
CS_D5-Weekday-SDon-BM,20251019,2
CS_D5-Weekday-SDon,20251104,2
CS_D5-Weekday-SDon-BM,20251103,2
CS_D5-Weekday-SDon,20251111,2
CS_D5-Weekday-SDon-BM,20251110,2
CS_D5-Weekday-SDon,20260102,2
CS_D5-Weekday-SDon-BM,20260101,2
CS_D5-Weekday,20250902,1
CS_D5-Weekday-BM,20250901,1
CS_D5-Weekday,20250903,1
CS_D5-Weekday-BM,20250902,1
CS_D5-Weekday,20250923,1
CS_D5-Weekday-BM,20250922,1
CS_D5-Weekday,20250924,1
CS_D5-Weekday-BM,20250923,1
CS_D5-Weekday,20251002,1
CS_D5-Weekday-BM,20251001,1
CS_D5-Weekday,20251020,1
CS_D5-Weekday-BM,20251019,1
CS_D5-Weekday,20251104,1
CS_D5-Weekday-BM,20251103,1
CS_D5-Weekday,20251111,1
CS_D5-Weekday-BM,20251110,1
CS_D5-Weekday,20260102,1
CS_D5-Weekday-BM,20260101,1
CS_O5-Weekday,20251014,2
CS_O5-Weekday-BM,20251013,2
CS_O5-Weekday,20251015,2
CS_O5-Weekday-BM,20251014,2
CS_O5-Weekday,20251016,2
CS_O5-Weekday-BM,20251015,2
CS_O5-Weekday,20251017,2
CS_O5-Weekday-BM,20251016,2
CS_O5-Weekday,20251020,2
CS_O5-Weekday-BM,20251019,2
CS_O5-Weekday,20251021,2
CS_O5-Weekday-BM,20251020,2
CS_O5-Weekday,20251022,2
CS_O5-Weekday-BM,20251021,2
CS_O5-Weekday,20251023,2
CS_O5-Weekday-BM,20251022,2
CS_O5-Weekday,20251024,2
CS_O5-Weekday-BM,20251023,2
CS_O5-Weekday,20251027,2
CS_O5-Weekday-BM,20251026,2
CS_O5-Weekday,20251028,2
CS_O5-Weekday-BM,20251027,2
CS_O5-Weekday,20251029,2
CS_O5-Weekday-BM,20251028,2
CS_O5-Weekday,20251030,2
CS_O5-Weekday-BM,20251029,2
CS_O5-Weekday,20251031,2
CS_O5-Weekday-BM,20251030,2
CS_O5-Weekday,20251103,2
CS_O5-Weekday-BM,20251102,2
CS_O5-Weekday,20251104,2
CS_O5-Weekday-BM,20251103,2
CS_O5-Weekday,20251105,2
CS_O5-Weekday-BM,20251104,2
CS_O5-Weekday,20251106,2
CS_O5-Weekday-BM,20251105,2
CS_O5-Weekday,20251107,2
CS_O5-Weekday-BM,20251106,2
CS_O5-Weekday,20251110,2
CS_O5-Weekday-BM,20251109,2
CS_O5-Weekday,20251111,2
CS_O5-Weekday-BM,20251110,2
CS_O5-Weekday,20251112,2
CS_O5-Weekday-BM,20251111,2
CS_O5-Weekday,20251113,2
CS_O5-Weekday-BM,20251112,2
CS_O5-Weekday,20251114,2
CS_O5-Weekday-BM,20251113,2
CS_O5-Weekday,20251117,2
CS_O5-Weekday-BM,20251116,2
CS_O5-Weekday,20251118,2
CS_O5-Weekday-BM,20251117,2
CS_O5-Weekday,20251119,2
CS_O5-Weekday-BM,20251118,2
CS_O5-Weekday,20251120,2
CS_O5-Weekday-BM,20251119,2
CS_O5-Weekday,20251121,2
CS_O5-Weekday-BM,20251120,2
CS_O5-Weekday,20251124,2
CS_O5-Weekday-BM,20251123,2
CS_O5-Weekday,20251125,2
CS_O5-Weekday-BM,20251124,2
CS_O5-Weekday,20251126,2
CS_O5-Weekday-BM,20251125,2
CS_O5-Weekday,20251127,2
