route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
Q76,CS_O5-Weekday,CS_O5-Weekday-097200_MISC_684,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638229,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-098700_MISC_648,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37576747,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-100200_MISC_725,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37794000,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-101700_Q76_506,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37794001,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-103200_MISC_729,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37794004,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-104700_MISC_665,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37794003,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-107700_MISC_712,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638225,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-109200_MISC_658,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638262,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-110900_MISC_682,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638260,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-112900_MISC_684,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638229,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-114900_MISC_710,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638267,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-117400_Q76_507,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638234,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-123400_MISC_718,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638281,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-129600_MISC_710,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638267,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-132800_MISC_720,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638239,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-137500_MISC_718,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638281,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-083200_MISC_609,COLLEGE POINT,0,37638249,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-094300_MISC_701,COLLEGE POINT,0,37638220,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-095800_MISC_675,COLLEGE POINT,0,37576745,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-116000_MISC_712,COLLEGE POINT,0,37638225,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-118000_MISC_682,COLLEGE POINT,0,37638260,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-120000_MISC_684,COLLEGE POINT,0,37638229,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-122000_MISC_710,COLLEGE POINT,0,37638267,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-124000_Q76_507,COLLEGE POINT,0,37638234,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-126500_MISC_720,COLLEGE POINT,0,37638239,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-129500_MISC_718,COLLEGE POINT,0,37638281,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-132500_MISC_713,COLLEGE POINT,0,37638276,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-135500_MISC_710,COLLEGE POINT,0,37638267,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-138500_MISC_720,COLLEGE POINT,0,37638239,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-076500_MISC_609,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638249,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-088300_Q76_502,COLLEGE POINT,0,37638259,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-086700_MISC_701,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638220,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-088200_MISC_675,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37576745,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-083700_MISC_648,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37576747,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-082200_Q76_504,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638228,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-078500_MISC_616,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638222,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-089700_MISC_678,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638232,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-110800_MISC_729,COLLEGE POINT,0,37794004,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-114000_MISC_669,COLLEGE POINT,0,37638237,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-112300_MISC_665,COLLEGE POINT,0,37794003,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-097300_MISC_678,COLLEGE POINT,0,37638232,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-098800_MISC_669,COLLEGE POINT,0,37638237,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-100300_MISC_712,COLLEGE POINT,0,37638225,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-101800_Q76_507,COLLEGE POINT,0,37576744,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-103300_MISC_682,COLLEGE POINT,0,37638260,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-104800_MISC_684,COLLEGE POINT,0,37638229,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-106300_MISC_648,COLLEGE POINT,0,37576747,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-107800_MISC_725,COLLEGE POINT,0,37794000,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-109300_Q76_506,COLLEGE POINT,0,37794001,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-092800_Q76_505,COLLEGE POINT,0,37638233,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-089800_Q76_504,COLLEGE POINT,0,37638228,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-091300_MISC_648,COLLEGE POINT,0,37576747,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-086800_Q76_507,COLLEGE POINT,0,37576744,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-091200_MISC_669,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638237,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-045000_MISC_643,COLLEGE POINT,0,37490960,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-041400_MISC_630,COLLEGE POINT,0,37490958,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-037200_Q76_501,COLLEGE POINT,0,37490955,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-046200_Q76_505,COLLEGE POINT,0,37490961,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-047500_MISC_653,COLLEGE POINT,0,37490963,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-039400_MISC_618,COLLEGE POINT,0,37490956,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-050500_MISC_654,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37576743,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-050500_Q76_503,COLLEGE POINT,0,37490962,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-060500_Q76_505,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638231,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-054500_Q76_502,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638221,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-058500_Q76_504,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638227,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-072500_Q76_501,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638219,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-043800_Q76_504,COLLEGE POINT,0,37490959,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-068500_MISC_678,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638224,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-070500_Q76_506,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638269,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-074500_MISC_665,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638230,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-049000_Q76_506,COLLEGE POINT,0,37490964,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-052000_Q76_501,COLLEGE POINT,0,37490955,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-064500_Q76_503,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638226,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-038400_MISC_638,COLLEGE POINT,0,37490965,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-036000_Q76_503,COLLEGE POINT,0,37490962,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-056500_MISC_652,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638235,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-042600_MISC_654,COLLEGE POINT,0,37576743,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-062500_MISC_675,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638251,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-052500_MISC_616,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638236,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-066500_MISC_653,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638238,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-029500_Q76_501,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490955,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-031500_MISC_618,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490956,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-033000_Q76_502,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490957,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-034500_MISC_630,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490958,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-036000_Q76_504,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490959,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-037500_MISC_643,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490960,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-039000_Q76_505,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490961,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-040500_MISC_653,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490963,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-042000_Q76_506,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490964,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-043500_Q76_503,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490962,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-045000_Q76_501,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490955,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-046500_MISC_638,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37490965,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-085200_Q76_505,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638233,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-094200_Q76_507,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37576744,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-092700_MISC_712,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638225,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-095700_MISC_682,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638260,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-071200_Q76_503,COLLEGE POINT,0,37638226,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-073200_MISC_653,COLLEGE POINT,0,37638238,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-077200_Q76_506,COLLEGE POINT,0,37638269,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-075200_MISC_678,COLLEGE POINT,0,37638224,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-081200_MISC_665,COLLEGE POINT,0,37638230,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-079200_Q76_501,COLLEGE POINT,0,37638219,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-053500_MISC_638,COLLEGE POINT,0,37490965,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-055200_MISC_609,COLLEGE POINT,0,37638223,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-057200_MISC_654,COLLEGE POINT,0,37576743,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-059200_MISC_616,COLLEGE POINT,0,37638236,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-061200_Q76_502,COLLEGE POINT,0,37638221,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-063200_MISC_652,COLLEGE POINT,0,37638235,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-065200_Q76_504,COLLEGE POINT,0,37638227,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-067200_Q76_505,COLLEGE POINT,0,37638231,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-069200_MISC_675,COLLEGE POINT,0,37638251,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-120400_MISC_720,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638239,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-126400_MISC_713,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638276,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-080500_Q76_502,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638259,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-040400_Q76_502,COLLEGE POINT,0,37490957,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-085000_MISC_616,COLLEGE POINT,0,37638222,Q760203
Q76,CS_O5-Weekday,CS_O5-Weekday-106200_MISC_669,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638237,Q760202
Q76,CS_O5-Weekday,CS_O5-Weekday-048500_MISC_609,JAMAICA BUS TERMINAL via FRANCIS LEWIS,1,37638223,Q760202
Q90,CS_O5-Weekday,CS_O5-Weekday-027000_Q90_551,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490811,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-051000_Q90_552,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490814,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-148300_Q90_557,LIMITED FLUSHING,0,37490811,Q901247
Q90,CS_O5-Weekday,CS_O5-Weekday-047000_Q90_553,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490813,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-137500_MISC_708,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490813,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-143000_Q90_556,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490814,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-146000_Q90_557,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490811,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-043000_Q90_554,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490814,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-038000_Q90_555,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490815,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-121000_MISC_693,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490815,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-035000_Q90_554,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490814,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-033500_Q90_551,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490811,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-111000_Q90_557,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490814,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-063000_MISC_620,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490813,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-036500_Q90_552,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490812,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-069000_Q90_551,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490815,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-107000_MISC_694,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490811,Q901252
Q90,CS_O5-Weekday,CS_O5-Weekday-039500_Q90_553,LIMITED LAGUARDIA AIRPORT TERMINALS B-C,1,37490813,Q901252
