service_id,date,exception_type
CA_D5-Sunday,20250901,1
CA_D5-Sunday,20251127,1
CA_D5-Sunday,20251225,1
CA_D5-Sunday,20260101,1
CA_D5-Weekday-SDon,20251127,2
CA_D5-Weekday-SDon,20251128,2
CA_D5-Weekday-SDon,20251225,2
CA_D5-Weekday-SDon,20260101,2
CA_D5-Weekday-SDon,20250902,2
CA_D5-Weekday-SDon,20250903,2
CA_D5-Weekday-SDon,20250923,2
CA_D5-Weekday-SDon,20250924,2
CA_D5-Weekday-SDon,20251002,2
CA_D5-Weekday-SDon,20251013,2
CA_D5-Weekday-SDon,20251020,2
CA_D5-Weekday-SDon,20251104,2
CA_D5-Weekday-SDon,20251111,2
CA_D5-Weekday-SDon,20251224,2
CA_D5-Weekday-SDon,20251226,2
CA_D5-Weekday-SDon,20251229,2
CA_D5-Weekday-SDon,20251230,2
CA_D5-Weekday-SDon,20251231,2
CA_D5-Weekday-SDon,20260102,2
CA_D5-Weekday,20250902,1
CA_D5-Weekday,20250903,1
CA_D5-Weekday,20250923,1
CA_D5-Weekday,20250924,1
CA_D5-Weekday,20251002,1
CA_D5-Weekday,20251013,1
CA_D5-Weekday,20251020,1
CA_D5-Weekday,20251104,1
CA_D5-Weekday,20251111,1
CA_D5-Weekday,20251224,1
CA_D5-Weekday,20251226,1
CA_D5-Weekday,20251229,1
CA_D5-Weekday,20251230,1
CA_D5-Weekday,20251231,1
CA_D5-Weekday,20260102,1
CH_D5-Sunday,20250901,1
CH_D5-Sunday,20251127,1
CH_D5-Sunday,20251225,1
CH_D5-Sunday,20260101,1
CH_D5-Weekday-SDon,20251127,2
CH_D5-Weekday-SDon,20251128,2
CH_D5-Weekday-SDon,20251225,2
CH_D5-Weekday-SDon,20260101,2
CH_D5-Weekday-SDon,20250902,2
CH_D5-Weekday-SDon,20250903,2
CH_D5-Weekday-SDon,20250923,2
CH_D5-Weekday-SDon,20250924,2
CH_D5-Weekday-SDon,20251002,2
CH_D5-Weekday-SDon,20251013,2
CH_D5-Weekday-SDon,20251020,2
CH_D5-Weekday-SDon,20251104,2
CH_D5-Weekday-SDon,20251111,2
CH_D5-Weekday-SDon,20251224,2
CH_D5-Weekday-SDon,20251226,2
CH_D5-Weekday-SDon,20251229,2
CH_D5-Weekday-SDon,20251230,2
CH_D5-Weekday-SDon,20251231,2
CH_D5-Weekday-SDon,20260102,2
CH_D5-Weekday,20250902,1
CH_D5-Weekday,20250903,1
CH_D5-Weekday,20250923,1
CH_D5-Weekday,20250924,1
CH_D5-Weekday,20251002,1
CH_D5-Weekday,20251013,1
CH_D5-Weekday,20251020,1
CH_D5-Weekday,20251104,1
CH_D5-Weekday,20251111,1
CH_D5-Weekday,20251224,1
CH_D5-Weekday,20251226,1
CH_D5-Weekday,20251229,1
CH_D5-Weekday,20251230,1
CH_D5-Weekday,20251231,1
CH_D5-Weekday,20260102,1
YU_D5-Sunday,20250901,1
YU_D5-Sunday,20251127,1
YU_D5-Sunday,20251225,1
YU_D5-Sunday,20260101,1
YU_D5-Weekday-SDon,20251127,2
YU_D5-Weekday-SDon,20251128,2
YU_D5-Weekday-SDon,20251225,2
YU_D5-Weekday-SDon,20260101,2
YU_D5-Weekday-SDon,20250902,2
YU_D5-Weekday-SDon,20250903,2
YU_D5-Weekday-SDon,20250923,2
YU_D5-Weekday-SDon,20250924,2
YU_D5-Weekday-SDon,20251002,2
YU_D5-Weekday-SDon,20251013,2
YU_D5-Weekday-SDon,20251020,2
YU_D5-Weekday-SDon,20251104,2
YU_D5-Weekday-SDon,20251111,2
YU_D5-Weekday-SDon,20251224,2
YU_D5-Weekday-SDon,20251226,2
YU_D5-Weekday-SDon,20251229,2
YU_D5-Weekday-SDon,20251230,2
YU_D5-Weekday-SDon,20251231,2
YU_D5-Weekday-SDon,20260102,2
YU_D5-Weekday,20250902,1
YU_D5-Weekday,20250903,1
YU_D5-Weekday,20250923,1
YU_D5-Weekday,20250924,1
YU_D5-Weekday,20251002,1
YU_D5-Weekday,20251013,1
YU_D5-Weekday,20251020,1
YU_D5-Weekday,20251104,1
YU_D5-Weekday,20251111,1
YU_D5-Weekday,20251224,1
YU_D5-Weekday,20251226,1
YU_D5-Weekday,20251229,1
YU_D5-Weekday,20251230,1
YU_D5-Weekday,20251231,1
YU_D5-Weekday,20260102,1
