route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM34,CA_S5-Weekday,CA_S5-Weekday-031000_MISC_241,SOHO HOUSTON ST via CHURCH ST,0,38021663,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-033000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,38021664,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-035000_MISC_262,SOHO HOUSTON ST via CHURCH ST,0,38021665,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-039000_MISC_294,SOHO HOUSTON ST via CHURCH ST,0,38021667,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-041000_MISC_230,SOHO HOUSTON ST via CHURCH ST,0,38021662,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-043000_MISC_241,SOHO HOUSTON ST via CHURCH ST,0,38021663,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-045000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,38021664,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-049000_MISC_339,SOHO HOUSTON ST via CHURCH ST,0,38021692,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-054000_MISC_294,SOHO HOUSTON ST via CHURCH ST,0,38021667,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-047000_MISC_262,SOHO HOUSTON ST via CHURCH ST,0,38021665,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-051000_MISC_343,SOHO HOUSTON ST via CHURCH ST,0,38021668,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-092000_MISC_332,MARINERS HARBOR via WATCHOGUE RD,1,38021670,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-098000_MISC_315,MARINERS HARBOR via WATCHOGUE RD,1,38021673,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-106000_MISC_332,MARINERS HARBOR via WATCHOGUE RD,1,38021670,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-110500_MISC_437,MARINERS HARBOR via WATCHOGUE RD,1,38021690,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-089500_MISC_321,MARINERS HARBOR via WATCHOGUE RD,1,38021669,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-094000_MISC_292,MARINERS HARBOR via WATCHOGUE RD,1,38021671,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-096000_MISC_304,MARINERS HARBOR via WATCHOGUE RD,1,38021672,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-104000_MISC_321,MARINERS HARBOR via WATCHOGUE RD,1,38021669,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-108000_MISC_433,MARINERS HARBOR via WATCHOGUE RD,1,38021691,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-037000_MISC_278,SOHO HOUSTON ST via CHURCH ST,0,38021666,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-028000_MISC_230,SOHO HOUSTON ST via CHURCH ST,0,38021662,SIM340086
SIM34,CA_S5-Weekday,CA_S5-Weekday-102000_MISC_418,MARINERS HARBOR via WATCHOGUE RD,1,38021675,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-100000_MISC_411,MARINERS HARBOR via WATCHOGUE RD,1,38021674,SIM340094
SIM34,CA_S5-Weekday,CA_S5-Weekday-113500_MISC_411,MARINERS HARBOR via WATCHOGUE RD,1,38021674,SIM340094
SIM35,CA_S5-Weekday,CA_S5-Weekday-046500_MISC_266,DOWNTOWN FRANKFORT ST via WATER ST,0,38021677,SIM350160
SIM35,CA_S5-Weekday,CA_S5-Weekday-096500_SIM35_215,PORT RICHMOND via CLOVE RD,1,38021685,SIM350171
SIM35,CA_S5-Weekday,CA_S5-Weekday-108500_SIM35_215,PORT RICHMOND via CLOVE RD,1,38021685,SIM350171
SIM35,CA_S5-Weekday,CA_S5-Weekday-036500_MISC_282,DOWNTOWN FRANKFORT ST via WATER ST,0,38021678,SIM350160
SIM35,CA_S5-Weekday,CA_S5-Weekday-104500_MISC_310,PORT RICHMOND via CLOVE RD,1,38021683,SIM350171
SIM35,CA_S5-Weekday,CA_S5-Weekday-040500_SIM35_215,DOWNTOWN FRANKFORT ST via WATER ST,0,38021680,SIM350160
SIM35,CA_S5-Weekday,CA_S5-Weekday-034500_MISC_266,DOWNTOWN FRANKFORT ST via WATER ST,0,38021677,SIM350160
