service_id,date,exception_type
AFA25GEN-1038-Sunday-00_C64,20251127,1
AFA25GEN-1038-Sunday-00_C64,20251225,2
AFA25GEN-1038-Sunday-00_C64,20251228,2
AFA25GEN-1038-Sunday-00_C64,20260101,1
AFA25GEN-1039-Saturday-00_C49,20251227,2
AFA25GEN-1039-Saturday-00_C49,20260119,1
AFA25GEN-1039-Saturday-00_C49,20260216,1
AFA25GEN-1093-Weekday-00_C8,20251127,2
AFA25GEN-1093-Weekday-00_C8,20251223,2
AFA25GEN-1093-Weekday-00_C8,20251224,2
AFA25GEN-1093-Weekday-00_C8,20251225,2
AFA25GEN-1093-Weekday-00_C8,20251226,2
AFA25GEN-1093-Weekday-00_C8,20251229,2
AFA25GEN-1093-Weekday-00_C8,20251230,2
AFA25GEN-1093-Weekday-00_C8,20251231,2
AFA25GEN-1093-Weekday-00_C8,20260101,2
AFA25GEN-1093-Weekday-00_C8,20260119,2
AFA25GEN-1093-Weekday-00_C8,20260216,2
AFA25GEN-2042-Saturday-00_C51,20251227,2
AFA25GEN-2042-Saturday-00_C51,20260119,1
AFA25GEN-2042-Saturday-00_C51,20260216,1
AFA25GEN-2048-Sunday-00_C9,20251127,1
AFA25GEN-2048-Sunday-00_C9,20251225,2
AFA25GEN-2048-Sunday-00_C9,20251228,2
AFA25GEN-2048-Sunday-00_C9,20260101,1
AFA25GEN-2100-Weekday-00_C38,20251127,2
AFA25GEN-2100-Weekday-00_C38,20251223,2
AFA25GEN-2100-Weekday-00_C38,20251224,2
AFA25GEN-2100-Weekday-00_C38,20251225,2
AFA25GEN-2100-Weekday-00_C38,20251226,2
AFA25GEN-2100-Weekday-00_C38,20251229,2
AFA25GEN-2100-Weekday-00_C38,20251230,2
AFA25GEN-2100-Weekday-00_C38,20251231,2
AFA25GEN-2100-Weekday-00_C38,20260101,2
AFA25GEN-2100-Weekday-00_C38,20260119,2
AFA25GEN-2100-Weekday-00_C38,20260216,2
AFA25GEN-3042-Saturday-00_C18,20251227,2
AFA25GEN-3042-Saturday-00_C18,20260119,1
AFA25GEN-3042-Saturday-00_C18,20260216,1
AFA25GEN-3044-Sunday-00_C17,20251127,1
AFA25GEN-3044-Sunday-00_C17,20251225,2
AFA25GEN-3044-Sunday-00_C17,20251228,2
AFA25GEN-3044-Sunday-00_C17,20260101,1
AFA25GEN-3093-Weekday-00_C33,20251127,2
AFA25GEN-3093-Weekday-00_C33,20251223,2
AFA25GEN-3093-Weekday-00_C33,20251224,2
AFA25GEN-3093-Weekday-00_C33,20251225,2
AFA25GEN-3093-Weekday-00_C33,20251226,2
AFA25GEN-3093-Weekday-00_C33,20251229,2
AFA25GEN-3093-Weekday-00_C33,20251230,2
AFA25GEN-3093-Weekday-00_C33,20251231,2
AFA25GEN-3093-Weekday-00_C33,20260101,2
AFA25GEN-3093-Weekday-00_C33,20260119,2
AFA25GEN-3093-Weekday-00_C33,20260216,2
AFA25GEN-4043-Saturday-00_C10,20251227,2
AFA25GEN-4043-Saturday-00_C10,20260119,1
AFA25GEN-4043-Saturday-00_C10,20260216,1
AFA25GEN-4049-Sunday-00_C23,20251127,1
AFA25GEN-4049-Sunday-00_C23,20251225,2
AFA25GEN-4049-Sunday-00_C23,20251228,2
AFA25GEN-4049-Sunday-00_C23,20260101,1
AFA25GEN-4104-Weekday-00_C39,20251127,2
AFA25GEN-4104-Weekday-00_C39,20251223,2
AFA25GEN-4104-Weekday-00_C39,20251224,2
AFA25GEN-4104-Weekday-00_C39,20251225,2
AFA25GEN-4104-Weekday-00_C39,20251226,2
AFA25GEN-4104-Weekday-00_C39,20251229,2
AFA25GEN-4104-Weekday-00_C39,20251230,2
AFA25GEN-4104-Weekday-00_C39,20251231,2
AFA25GEN-4104-Weekday-00_C39,20260101,2
AFA25GEN-4104-Weekday-00_C39,20260119,2
AFA25GEN-4104-Weekday-00_C39,20260216,2
AFA25GEN-5044-Saturday-00_C6,20251227,2
AFA25GEN-5044-Saturday-00_C6,20260119,1
AFA25GEN-5044-Saturday-00_C6,20260216,1
AFA25GEN-5049-Sunday-00_C57,20251127,1
AFA25GEN-5049-Sunday-00_C57,20251225,2
AFA25GEN-5049-Sunday-00_C57,20251228,2
AFA25GEN-5049-Sunday-00_C57,20260101,1
AFA25GEN-5113-Weekday-00_C22,20251127,2
AFA25GEN-5113-Weekday-00_C22,20251223,2
AFA25GEN-5113-Weekday-00_C22,20251224,2
AFA25GEN-5113-Weekday-00_C22,20251225,2
AFA25GEN-5113-Weekday-00_C22,20251226,2
AFA25GEN-5113-Weekday-00_C22,20251229,2
AFA25GEN-5113-Weekday-00_C22,20251230,2
AFA25GEN-5113-Weekday-00_C22,20251231,2
AFA25GEN-5113-Weekday-00_C22,20260101,2
AFA25GEN-5113-Weekday-00_C22,20260119,2
AFA25GEN-5113-Weekday-00_C22,20260216,2
AFA25GEN-6031-Sunday-00_C24,20251127,1
AFA25GEN-6031-Sunday-00_C24,20251225,2
AFA25GEN-6031-Sunday-00_C24,20251228,2
AFA25GEN-6031-Sunday-00_C24,20260101,1
AFA25GEN-6034-Saturday-00_C63,20251227,2
AFA25GEN-6034-Saturday-00_C63,20260119,1
AFA25GEN-6034-Saturday-00_C63,20260216,1
AFA25GEN-6091-Weekday-00_C2,20251127,2
AFA25GEN-6091-Weekday-00_C2,20251223,2
AFA25GEN-6091-Weekday-00_C2,20251224,2
AFA25GEN-6091-Weekday-00_C2,20251225,2
AFA25GEN-6091-Weekday-00_C2,20251226,2
AFA25GEN-6091-Weekday-00_C2,20251229,2
AFA25GEN-6091-Weekday-00_C2,20251230,2
AFA25GEN-6091-Weekday-00_C2,20251231,2
AFA25GEN-6091-Weekday-00_C2,20260101,2
AFA25GEN-6091-Weekday-00_C2,20260119,2
AFA25GEN-6091-Weekday-00_C2,20260216,2
AFA25GEN-7024-Saturday-00_C58,20251227,2
AFA25GEN-7024-Saturday-00_C58,20260119,1
AFA25GEN-7024-Saturday-00_C58,20260216,1
AFA25GEN-7026-Sunday-00_C16,20251127,1
AFA25GEN-7026-Sunday-00_C16,20251225,2
AFA25GEN-7026-Sunday-00_C16,20251228,2
AFA25GEN-7026-Sunday-00_C16,20260101,1
AFA25GEN-7064-Weekday-00_C32,20251127,2
AFA25GEN-7064-Weekday-00_C32,20251223,2
AFA25GEN-7064-Weekday-00_C32,20251224,2
AFA25GEN-7064-Weekday-00_C32,20251225,2
AFA25GEN-7064-Weekday-00_C32,20251226,2
AFA25GEN-7064-Weekday-00_C32,20251229,2
AFA25GEN-7064-Weekday-00_C32,20251230,2
AFA25GEN-7064-Weekday-00_C32,20251231,2
AFA25GEN-7064-Weekday-00_C32,20260101,2
AFA25GEN-7064-Weekday-00_C32,20260119,2
AFA25GEN-7064-Weekday-00_C32,20260216,2
AFA25GEN-GS013-Saturday-00,20260119,1
AFA25GEN-GS013-Saturday-00,20260216,1
AFA25GEN-GS013-Sunday-00,20251127,1
AFA25GEN-GS013-Sunday-00,20251225,1
AFA25GEN-GS013-Sunday-00,20260101,1
AFA25GEN-GS022-Weekday-00,20251127,2
AFA25GEN-GS022-Weekday-00,20251225,2
AFA25GEN-GS022-Weekday-00,20260101,2
AFA25GEN-GS022-Weekday-00,20260119,2
AFA25GEN-GS022-Weekday-00,20260216,2
BFA25GEN-A047-Saturday-00_C12,20251227,2
BFA25GEN-A047-Saturday-00_C12,20260119,1
BFA25GEN-A047-Saturday-00_C12,20260216,1
